#ModelName Albedo Normal Rough Metal AO Emissive
mainChar Albedo Normal Rough NULL AO NULL
coat Albedo Normal Rough NULL AO NULL
grass Albedo Normal Rough NULL AO NULL
houseB Albedo Normal Rough Metal AO Emissive
houseB1 Albedo Normal Rough Metal AO Emissive
houseB2 Albedo Normal Rough Metal NULL Emissive
houseB3 Albedo Normal Rough Metal AO Emissive
houseB4 Albedo Normal Rough Metal AO Emissive
houseD Albedo Normal Rough Metal AO Emissive
altar Albedo Normal Rough Metal AO NULL
church5 Albedo Normal Rough NULL AO NULL
churchfront Albedo Normal Rough Metal AO Emissive
churchtop Albedo Normal Rough Metal AO Emissive
churhcback Albedo Normal Rough NULL NULL NULL
Wood Albedo Normal Rough NULL AO NULL
DemonMasks Albedo NULL Rough Metal AO NULL
Cauldron Albedo Normal Rough NULL AO NULL
firTree1 Albedo NULL NULL NULL NULL NULL
firLeaves Albedo NULL NULL NULL NULL NULL
lamp5 Albedo Normal Rough NULL AO Emissive
